doc_id,doc_type,region
0000027b-2017-5bb0-b2fc-862b9026bda4,cv,train
00000dac-4baf-57c5-a396-10e5abc2ee26,cv,train
000042b7-ffb2-5b83-96ff-b080ec9abc32,cv,train
00009921-cecc-59c7-8a72-c5ae154e9ef2,cv,train
0000d88e-2a66-5ff6-81c7-802ce8b34a8c,cv,eval
000160b9-dcef-57b2-ac46-61707d6303f4,cv,train
0001a2bc-878b-549f-9176-00c031a3e9cd,cv,eval
0001cf11-7536-59d1-aeef-4c480c91c513,cv,train
0001d91d-fa0b-5ebd-b301-e3919f2cf0e2,cv,train
00028027-e78d-5e8f-ad51-ba0d9e04a271,cv,train
000361e2-90fa-59a8-8ac2-9ca325ebb1da,cv,eval
00036f76-584c-5ffe-946e-2142751df69b,cv,train
0003837d-1088-55b5-b300-7808c6584e77,cv,train
00039343-9d5d-5826-a08c-c8c95c43a152,cv,train
00046f2f-8ab5-5e2e-9aae-ecc83de783f8,cv,eval
000473f0-78e0-5938-8d83-5f3e2027e30a,cv,train
00053e78-44c4-5077-b8a8-8415f434954e,cv,train
00059ab3-3778-53e6-b800-ece90b748194,cv,train
0005a646-413d-5517-a9bb-a8924bd44a46,cv,eval
0005a76a-7e2a-58e8-9c9e-125a6737b208,cv,train
00073cd6-0b83-52f4-b449-633fbc4ec8b3,cv,eval
00073fa7-3c25-5656-be21-71f6744e0248,cv,train
00082276-4996-5f0a-80f7-092ac4ae39eb,cv,train
000882d2-827f-5ad8-83e3-b9e575a8d680,cv,train
00089840-5480-5abd-a154-e4a53b9f48ac,cv,train
0008bc35-3abe-52d3-942c-40a772ac1dda,cv,train
0008bfbc-6f46-5f73-b7e2-5e51c3e2e44b,cv,train
0008c77f-0756-559a-baed-2f9cdd7a62e8,cv,train
00097920-179e-5921-ab7e-8dcf6f4a4f4a,cv,eval
000a44f3-8519-5466-8c1a-d8bf4946f7cb,cv,train
000c1fe0-8031-5c00-99a2-70c79a34c810,cv,train
000cefb6-69fa-575b-bebe-d970a6142c4b,cv,eval
000d4f70-121f-5cea-865b-d1940a525df1,cv,train
000d9215-eba1-5d59-a13a-f0a8b7f1f8eb,cv,train
000da3c3-2206-5982-b749-cf86c45466b3,cv,train
000e1019-b726-57b3-90de-45634bb765ea,cv,train
000eef9b-8327-55cf-9eff-6c404a1934d4,cv,eval
000f6482-c590-5f21-8acb-590478953cd9,cv,train
000fc2fb-3b78-5b11-9f0d-4622636ee9f2,cv,train
000fccff-2178-588d-8866-392272119c7e,cv,train
