queue_id,corpus,query_id,doc_id,selection_reason,position
q_f6eac202e01e,a1,j_c77a3507cb43,r_eddedccf0117,a1_recheck,0
q_3f09152c2289,a2,0b04e287-8e84-594b-b448-98ab6725580f,1d5228f9-d77a-5b0c-af9b-80c0cd1848f3,indomain_banded,1
q_22314f877dc3,a2,777c8c4e-e2a6-5cfa-a87e-0ff547991a22,43b419a7-88d4-53fe-bb6d-4987666af3a4,indomain_banded,2
q_b2b9e91e2f91,a2,2701fb0a-3208-5642-b9ed-c7475da92b79,883a0253-e193-51b9-b92a-b99182ed6b03,indomain_banded,3
q_ba2e08379864,a1,j_9114d6480e8e,r_3f37a16fe433,a1_recheck,4
q_562aeeb39960,a2,c28f1951-f952-59c0-8a61-e4c28f6e6bd7,4406b154-b686-528d-8bd8-78fad22be4ff,indomain_banded,5
q_5063817546c3,a1,j_16f9c601b139,r_fa1cd912aa5e,a1_recheck,6
q_a2276c1c7e42,a2,f4fb3202-2868-5d4d-9444-45c5760e3857,312c73bb-9601-5a63-a2b5-8d49104fc6e4,indomain_banded,7
q_72878e85aca7,a1,j_9aa590d4c265,r_8ce250986e54,a1_recheck,8
q_4b8dc8bc14dd,a2,bf6daec1-2487-5782-8b25-df9d12edec12,b332cac5-1e07-5911-8608-bc49a32d0660,indomain_banded,9
q_e32736d4236d,a2,c28f1951-f952-59c0-8a61-e4c28f6e6bd7,579acba5-26db-5c1b-9d50-ac3d472e0827,indomain_banded,10
q_dee8a573c49d,a1,j_17d9c4a276a8,r_d0a9a235028a,a1_recheck,11
q_321a2f482f74,a2,bf6daec1-2487-5782-8b25-df9d12edec12,daf4f4bd-a0a6-5904-be8c-d6d1ea45a395,indomain_banded,12
q_17d6ea8a61b0,a1,j_d0f612320973,r_9ddad6feab89,a1_recheck,13
q_b9263c78541e,a2,79a3f5dc-e83d-53a6-9340-c980d58073b8,21b26c99-aa43-50a4-8fb7-1f23cfea777f,indomain_banded,14
